key,value
tf_id,96782
agent_tf_id,1
task_id,6996
env,default
task_name,cr-ml-waf-dlr-agg-app
app_id,5
app_name,cr-ml-waf-dlr-agg-app
app_pit,2026-07-20T18:08:38
output_name,abfss://cr-ml-pre-agg-waf-dlr@csicrprod.dfs.core.windows.net/data
tf_type,file
status,COMPLETED
start_time,2026-07-20T18:27:47.470000+00:00
end_time,2026-07-20T18:28:12.147000+00:00
duration,24.677
cnt_test_runs,
cnt_alerts,
cnt_breaks,
cnt_metrics,12
tf_io_type,output
error,
description,save at FormatSparkWriter.scala:28 (InsertIntoHadoopFsRelationCommand)
